firstName,middleName,lastName,socialSecurityNumber,dateOfBirth,postalAddress,phoneNumber,hireDate
Frankie,King,Tippett,108536927,January 30 1950,0 Fm 1952 WALLIS Texas 24526,644701081,June 9 2009
Alverta,Rocky,Mezzina,439615841,February 9 1961,11513 Hahn Road SEALY Texas 56484,851000585,April 21 2003
Cindi,Marx,Yacono,967237494,March 31 1972,2227 East School Road BELLVILLE Texas 10666,830682806,April 7 2005
Antoinette,Roxanne,Ciesluk,494765370,April 21 1988,4538 Schoenau Road BRENHAM Texas 68943,555789654,April 19 2009
Lolita,Cherly,Aurrichio,505874579,November 17 1954,122 North First Street WALLIS Texas 34742,514184771,April 3 2007
Shaunte,Staci,Beranek,771378166,July 6 1992,3965 Alvin Street SAN FELIPE Texas 47900,295073891,December 14 2013
Una,Alissa,Belling,180980843,August 1 1986,307 North Holland Street BELLVILLE Texas 50701,853197055,September 19 1985
Willette,Twana,Bosack,796000467,April 5 1992,1561 Fm 949 SEALY Texas 86981,578007165,November 28 1996
Sharan,Wesley,Makino,594108822,April 25 1957,0 Rinn Road  Texas 61721,290992862,August 31 1999
Marci,Waldo,Bruess,353924175,January 2 1973,1737 Koy Road BELLVILLE Texas 12360,340951198,October 12 2015
Vincenza,Deeanna,Gradwell,895261158,August 29 1973,0 Highway 36 SEALY Texas 15261,592374973,August 26 2010
Meta,Anissa,Bessent,784991139,April 2 1970,571 Bader Road BELLVILLE Texas 50937,233400380,December 10 2001
Mindy,Willa,Huffines,622429972,January 7 1983,6025 Southwest I-10 Frontage Road SEALY Texas 69308,383216136,April 30 2002
Shaniqua,Kathie,Maskaly,676298667,January 18 1988,5259 Palacios Street  Texas 28401,387979389,March 23 1988
Susan,Hank,Smigel,523079238,May 26 1953,   Texas 21287,899360814,October 8 2000
Rubye,Andrew,Rohlf,415779841,November 18 1969,1020 Fm 1456 BELLVILLE Texas 20555,224305311,November 28 2000
Corrina,Loyd,Wyzard,978848291,February 24 1968,9554 Hoff Road BELLVILLE Texas 50173,661126086,October 19 2005
Berry,Salvatore,Schnobrich,905766124,May 8 1972,681 Fm 109 NEW ULM Texas 36315,947600783,November 25 2011
Christopher,Kathyrn,Boyack,658684371,May 16 1967,6058 Cathy Lane SEALY Texas 35601,387913641,May 22 1989
Magali,Shizuko,Hitzler,473526072,February 1 1994,280 Fm 2754 BLEIBLERVILLE Texas 24932,282271189,October 7 1990
Gilberte,Eloy,Brussell,263983691,January 13 1980,9528 Baranowski Bush Road BELLVILLE Texas 32884,912125400,June 23 1990
Sammy,Alexia,Swedberg,255339099,May 25 1973,802 Fowlkes Street SEALY Texas 39142,235735651,August 1 1999
Rana,Georgiann,Rosca,225278563,June 12 1954,128 Briarwood Lane BELLVILLE Texas 66634,180647104,May 8 1986
Leontine,Galen,Keilholtz,300519304,March 2 1971,737 East Mill Street BELLVILLE Texas 96007,218336531,March 7 1991
Casey,Loyce,Alpert,728885650,August 2 1956,3806 Highway 36 North BELLVILLE Texas 26704,388307343,December 8 1992
Clemencia,Kathrine,Wiklund,825254442,October 7 1965,0 East Fm 389 ROUND TOP Texas 17490,668039133,November 14 1986
Jacquelin,Melida,Bruffee,926245260,April 1 1981,0 Carter Road BELLVILLE Texas 61213,143293023,March 24 2002
Dara,Johnny,Quiles,606153996,February 8 1965,11169 Highway 159 West BELLVILLE Texas 97781,402954366,November 19 1991
Maryjane,Bill,Canson,733142321,March 12 1994,0 Jones Street INDSTRY Texas 52025,646560374,March 24 2010
India,Jessika,Brassil,207688245,April 19 1980,0 Tranquil Lane CAT SPRING Texas 56609,276743061,January 25 2000
Tyler,Catherin,Paszkiewicz,302499792,May 10 1997,   Texas 26840,582559560,April 9 1991
Dwana,Celestina,Glaves,483605054,October 31 1968,0 Rocky Road  Texas 50313,360145854,April 27 2003
Gidget,Marlena,Sumrow,937057843,March 27 1952,   Texas 99619,578516816,February 15 2007
Lachelle,Romona,Robidoux,631989759,January 27 1982,1009 West Main BELLVILLE Texas 91246,251874794,December 27 2001
Rosann,Carrol,Gerwin,648265117,March 21 1952,1721 Eagle Lake  Road SEALY Texas 81894,135205269,October 4 2010
Justa,Vernice,Line,548618500,April 28 1977,0 Lisa Mae Road BELLVILLE Texas 52584,211731555,April 13 1999
Lupe,Oralee,Markwell,208570690,October 29 1955,0 Lux Road SEALY Texas 83120,959383272,January 28 2011
Lien,Alejandrina,Faykosh,450076585,August 16 1994,0 Club Road BRENHAM Texas 19307,653102753,November 26 1999
Gudrun,Sandi,Wegmann,546659695,May 7 1987,9321 Fm 1458 SEALY Texas 69134,612376527,September 11 1994
Shantelle,Malik,Lapuerta,192882242,April 23 1964,0 Emshoff Road (Off Of) BRENHAM Texas 66824,768133762,February 15 2006
Mattie,Fe,Abel,401856160,February 3 1954,7095 Palm Road  Texas 56312,910803673,January 1 2011
Curt,Bud,Cornella,218373071,June 13 1959,0 Lynn Road  Texas 39321,541289757,August 14 2008
Lavina,Shayna,Pesnell,154939778,January 29 1982,1992 Dorothy Avenue SEALY Texas 41747,184056060,May 1 2008
Lang,Tuan,Bloemer,805868240,November 3 1978,602 Meyer Street SEALY Texas 48792,232262893,November 19 1991
Lajuana,Jackqueline,Osayande,750199998,December 3 1957,4909 Highway 36 South SEALY Texas 79872,873393519,July 21 2008
Emilie,Claude,Kruppa,223785645,April 10 1973,1617 Grubbs Road SEALY Texas 89071,741042930,September 30 1992
Brooke,Salena,Werra,397072129,January 25 1974,106 Camilla Circle BELLVILLE Texas 45995,793646674,January 13 2008
Stacey,Chrissy,Pitocco,364837570,October 27 1952,753 Bob White Lane WALLIS Texas 13881,562395587,January 22 1995
Drucilla,Grover,Olivid,110750205,May 18 1995,10530 Lourdes Road SEALY Texas 21279,919448206,June 16 1986
Ellyn,Olinda,Conaghan,526698724,November 8 1957,1416 Woody Lane SEALY Texas 73637,967130380,October 9 2011
Monroe,Deedee,Eplin,708518779,March 1 1959,511 2nd Street SEALY Texas 80305,382264538,March 28 1986
Conception,Nellie,Lataquin,522876047,August 3 1958,5205 Mertz Road  Texas 47719,628721775,October 31 2000
Parker,Ward,Nold,103148116,June 24 1985,0 Mikeska Road  Texas 96553,305565605,September 18 1997
Vernetta,Lorette,Mugica,753836376,September 5 1964,380 Meadowlark Circle SEALY Texas 80286,728592413,October 3 2004
Aurore,Cortez,Reinbold,924698222,January 26 1955,2184 Main Street INDUSTRY Texas 87269,476242530,June 13 1987
Ping,Wilton,Traverso,339378833,February 7 1981,502 West Front Street SEALY Texas 22161,496382102,December 10 1991
Gwyneth,Adelina,Varillas,697809943,April 2 1995,0 Highway 90 West SEALY Texas 53396,168537030,January 5 1995
Sherril,Rudy,Dungee,668074896,October 24 1951,8410 North Fm 1371  Texas 85431,364706613,March 16 2008
Royal,Jon,Herritt,210544520,March 26 1958,1706 Lakefield Drive SEALY Texas 12718,949644671,September 14 2016
Meryl,Tena,Pitassi,196328033,November 7 1959,0 Sealy Road SEALY Texas 23246,475337070,February 21 1988
Lorette,Ryan,Hinh,232773848,March 12 1965,7664 Hoppe Sister Road NEW ULM Texas 72162,605848636,August 19 2004
Talisha,Chasity,Guerinot,570903340,August 1 1992,640 West Sanders Street BELLVILLE Texas 54967,666673523,April 25 1997
Brittney,Iluminada,Knoche,993917240,April 25 1967,0 Sycamore Road CAT SPRING Texas 84549,416268784,December 5 1993
Bryanna,Theressa,Corkill,727008153,September 28 1980,0 Fm 1456  Texas 16815,294303687,January 6 1998
Wendell,Majorie,Beanblossom,170547740,June 20 1962,4876 Fm 3538 SEALY Texas 13856,254498716,October 4 2010
Nevada,Janel,Broncheau,956218266,June 15 1961,436 North Holland Street BELLVILLE Texas 43889,597971434,May 7 2013
Lisbeth,Meryl,Buzzell,290322926,December 31 1974,2928 Fm 1456 BELLVILLE Texas 83505,832664708,March 6 2010
Versie,Chris,Dry,551480209,February 8 1952,   Texas 70022,582264641,December 26 2004
Cathrine,Samuel,Padinha,848287142,March 7 1953,10490 North Oil Field Road BRENHAM Texas 53094,488574614,July 29 2011
Richie,Zella,Wynott,831501674,May 31 1954,0 Shupak Road  Texas 54124,744785961,January 23 2013
Iva,Filomena,Loukas,690490142,December 3 1963,0 Krueger Road  Texas 68552,505122139,March 11 2016
Emerson,Veronica,Gleason,365185939,August 27 1990,0 Reese Road @ Sempronious Road  Texas 72948,576699920,February 26 1996
Melanie,Lanie,Coad,325902164,August 16 1963,1473 Hintz Road SEALY Texas 68603,997146356,March 18 2011
Louis,Frances,Montalvan,954169837,June 11 1960,0 Remmert  Road  Texas 20962,205752141,November 9 2007
Lorenza,Ciera,Kainoa,625797781,January 21 1972,10730 Emshoff Road BRENHAM Texas 10862,289381694,April 3 2014
Vinnie,Signe,Hackleman,463479122,June 27 1996,3348 West Ueckert Road BELLVILLE  Texas 83988,522710234,April 30 1987
Damon,Muoi,Kyung,397337099,March 3 1967,2019 Leschper Road BELLVILLE Texas 14441,979522083,April 12 2000
Katharine,Ruth,Grava,396993506,February 10 1963,3813 Fm 2502  Texas 18331,467453592,December 26 2008
Rosenda,Porsha,Driere,129387700,February 21 1970,0 North Fm 331 BELLVILLE Texas 82731,251999770,April 24 2000
Camelia,Antoinette,Gutsche,705682430,June 29 1997,6523 Parma-Brandt Lane WALLIS Texas 65494,581595967,September 16 2011
Norah,Samara,Tayse,800285690,August 5 1950,   Texas 51650,504774129,July 10 2008
Vivien,Leonia,Pallas,756978793,January 28 1953,0 Andrews Street SEALY Texas 51556,608705638,February 14 2008
Roxie,Mariela,Showalter,673000501,September 4 1977,425 Engelking Street SEALY Texas 21018,326847887,December 25 2007
Monica,Dorthy,Linnertz,627443361,December 23 1988,6934 Church Street WALLIS Texas 62498,531225191,December 12 1995
Grady,Edward,Smisek,238999655,November 27 1976,0 Fm 3013 SEALY Texas 82535,826682281,September 7 1986
Rona,Christel,Artinian,256960877,October 28 1972,705 Magnolia Street SEALY Texas 72941,932606071,March 24 2003
Ira,Mafalda,Macnaught,881154772,June 11 1980,1929 Kendra Cove Lane SEALY Texas 68867,849152934,October 25 1996
Gracia,Brandi,Muthart,599713652,November 9 1969,0 Frontier Trail   Texas 77046,213668349,October 9 2010
Tomeka,Drusilla,Gunyan,423617747,August 24 1953,1009 Terrazas Lane SEALY Texas 78138,923854710,October 27 2011
Kit,Sherryl,Borgella,458401217,December 10 1963,112 East Chatham Street BELLVILLE Texas 60759,840669407,September 14 1986
Lawana,Evie,Ellerman,405247172,August 8 1989,0 Highway 36 South WALLIS Texas 34623,182786054,November 18 2014
Curtis,Granville,Hartzo,106603164,May 14 1987,   Texas 23866,268097458,February 8 2005
Darrell,Jovita,Rowback,727586694,July 31 1960,5902 South Fm 331   Texas 93871,947774575,May 8 1995
Allene,Jettie,Hardie,207492086,July 14 1952,613 Westview Terrace Drive SEALY Texas 25876,238067256,February 17 1999
Lilli,Katrina,Harkrader,380483143,January 14 1995,4255 Gajewski Road   Texas 32885,674183022,March 2 2006
Keith,Fermin,Fenley,672658571,November 3 1992,1293 Kersten Road SEALY Texas 79693,778841441,November 30 1988
Rafaela,Suanne,Okwuona,572265499,February 26 1960,0 Bernard Road NEW ULM Texas 48507,308884425,April 14 2003
Sharyl,Karey,Llorens,174660655,September 8 1950,905 Ives Creek Road BELLVILLE Texas 22289,193080115,August 5 1995
Shirl,Daria,Spatafora,888254786,February 8 1986,619 Magnolia Drive SEALY Texas 29678,568330350,June 11 2016
Meghan,Lissa,Willcoxon,112794554,August 12 1982,0 Fm1094  Texas 98633,169759243,August 16 1993
Barney,Carmen,Mensi,664698676,May 26 1960,7769 Post Oak Point Road NEW ULM Texas 57992,712557948,October 23 1998
Lady,Pandora,Catenaccio,619928077,April 25 1993,113 Douglas Drive BELLVILLE Texas 98410,167321955,December 28 2016
Glenda,Larhonda,Franzoni,505664234,March 26 1978,2010 Royal Court BELLVILLE Texas 61637,608676643,August 25 1991
Santa,Doug,Heuring,705154605,April 10 1996,11635 Highway 36 South WALLIS Texas 39418,786736796,July 15 1993
Angelita,Samella,Nunoz,940813739,June 16 1981,   Texas 27648,772922813,October 28 1986
Catherin,Carina,Stoppkotte,523317222,October 27 1970,0 Highway 36 North (Off Of) BELLVILLE Texas 84853,486131803,August 30 1996
Myesha,Annabel,Gingell,342348597,November 30 1988,509 South Loop 497 BELLVILLE  Texas 37982,813629823,January 10 2005
Edmond,Soon,Mccoskey,798605234,October 19 1989,   Texas 17358,530133320,February 19 2015
Philomena,Sacha,Stidham,101942564,September 11 1970,   Texas 54494,582985561,August 29 1997
Karl,Renee,Thavichith,760616068,December 21 1962,0 Sealy Homestead Sub  Texas 71892,230733381,August 24 2008
Rachelle,Lanita,Richel,442593854,March 27 1975,0 Post Oak Point Road  Texas 53890,677476623,July 26 1996
Tomasa,Deloise,Rossum,662367945,February 1 1980,2054 Dorothy Lane SEALY Texas 84111,528397100,April 26 2005
Albert,Easter,Runnels,877586208,February 17 1966,   Texas 85395,304373906,December 30 2005
Nyla,Selene,Senf,980292265,March 29 1970,327 West Main Street SEALY Texas 65586,805345333,March 8 2015
Fannie,Joey,Labean,467932377,July 10 1966,0 Fm 1094 SEALY Texas 54594,783111231,May 3 2005
Jeremiah,Shawanda,Laravie,465468759,August 23 1955,   Texas 32244,882840231,March 21 1998
Claude,Earlean,Ziegenfuss,401736773,December 20 1976,1507 Vail SEALY Texas 96736,659249191,March 9 2005
Linh,Luanne,Deroin,647216979,November 17 1984,117 Lazy Lane SEALY Texas 85821,363382713,November 20 2004
Jeana,Riley,Ulcena,872001020,June 19 1959,15079 Fm 1458  Texas 41262,337886053,June 10 1999
Aron,Valencia,Kaase,938236150,September 21 1991,   Texas 38753,561706752,January 12 2001
Lavon,Roxann,Dworkin,753839838,December 15 1962,0 Tomlinson Road  Texas 97241,660555596,March 12 2015
Sharen,Celsa,Marsteller,963095469,November 7 1977,257 South Holland Street BELLVILLE Texas 72248,267221111,October 13 1991
Mathilda,Leslie,Brayboy,235393442,June 2 1969,   Texas 72306,652198324,August 14 2002
Oswaldo,Donnette,Nothnagel,517004366,March 21 1970,   Texas 22398,679187580,October 4 1991
Yulanda,Daisy,Cavill,188625279,December 26 1972,   Texas 67383,204760504,February 4 2010
Jae,Quinton,Naragon,152113852,October 6 1953,26512 Thyme Lane NEW ULM Texas 45214,505702974,October 30 2006
Robyn,Deanne,Corscadden,843572277,March 20 1975,454 Long Branch Road  Texas 17354,573101831,October 19 2005
Argentina,Leanne,Haecker,306479085,May 6 1971,2263 Main Street INDUSTRY Texas 83832,161930678,April 27 2010
Albina,Linn,Siders,761554035,March 3 1963,205 Westview Drive SEALY Texas 26619,973604350,December 26 2016
Wilda,Tangela,Robenson,613301144,December 30 1967,0 Highway 159 West @ Kamas Road  Texas 78374,302647033,September 9 1986
Roy,Cherilyn,Soppe,465614432,November 29 1964,   Texas 25616,862284110,March 16 2005
Kenneth,Lyda,Stassinos,811898812,July 16 1997,740 East Main Street BELLVILLE Texas 35029,681864002,September 30 2006
Karlene,Maxwell,Kuciemba,448522615,October 24 1977,610 Blue Topaz Drive BELLVILE Texas 33411,748115801,July 1 2011
Raymond,Danilo,Notarnicola,988467796,March 12 1963,312 East Austin Street BELLVILLE Texas 17700,818078909,February 5 2016
Lexie,Mariano,Mailo,425643796,July 2 1975,3112 Orange Hill  Road SEALY Texas 15809,769175007,February 25 1995
Mallie,Inocencia,Oquinn,195175961,May 4 1982,396 Newcom Lane SEALY Texas 85527,219793676,July 28 2003
Rodger,Nisha,Subramanian,159736920,July 27 1965,12180 North Fm 331  Texas 62645,929261968,July 8 1994
Manie,Ivory,Wishard,276320762,December 3 1992,3245 Ward Bend Road SEALY Texas 78034,871733327,December 8 2001
Mirta,Roxie,Kinstler,452263702,December 14 1973,413 South Masonic Street BELLVILLE Texas 81191,295753392,March 11 1987
Tammara,Aubrey,Cione,895627372,December 27 1995,9514 Korthauer Road BELLVILLE Texas 47397,219259152,November 3 2012
Elfreda,Will,Stcharles,758311585,March 9 1965,0 Miller Road East BELLVILLE Texas 10666,285091487,December 12 1997
Betsy,Wendolyn,Emmerling,339468703,May 14 1996,322 Menke Street SEALY Texas 63253,205584802,January 6 1993
Freddie,Edison,Lockyer,844132928,August 31 1990,4975 Fm 109  Texas 30556,679794564,June 30 1996
Estella,Debbi,Loegering,726704646,August 14 1979,   Texas 28742,894521639,November 21 2012
Monnie,Florinda,Marean,214170036,February 12 1970,479 Hickory Creek Road BELLVILLE Texas 99664,704091297,September 11 2012
Henry,Trinidad,Rua,601518336,October 30 1992,0 Johnston Road WALLIS Texas 39406,548746325,November 9 1992
Lashawna,Stephaine,Battenhouse,502035993,August 7 1989,2083 Fm 529 BELLVILLE Texas 24317,837851930,February 28 1990
Bradly,Merissa,Maxcy,315310855,January 27 1961,0 Rock House Road  Texas 86806,970331821,April 19 2010
Pearlene,Aubrey,Rohen,353215701,April 28 1973,5710 Coody Lane SEALY Texas 70625,528716792,February 22 1993
Nichole,Kenneth,Benadom,216327261,February 2 1988,24121 Buechmann Road NEW ULM Texas 32011,954032134,October 21 1988
Gilbert,Sona,Korvin,349381128,June 7 1968,9588 Fm 529 BELLVILLE Texas 23962,908191496,April 26 1997
Johnna,Mariah,Sallas,289840492,December 23 1994,   Texas 46516,754267054,March 23 1990
Martha,Rex,Lehmann,800513878,July 19 1959,203 Lisa Lane BELLVILLE Texas 47487,371667718,May 15 1990
Lorraine,Petrina,Rigazio,910715921,November 17 1974,10 West Main Street BELLVILLE Texas 68822,740812961,December 12 1991
Xochitl,Cyndy,Deubner,194015540,August 22 1993,208 Lisa Lane BELLVILLE Texas 23324,617199751,June 26 2009
Olene,Lavada,Villasenor,447005555,May 4 1985,6658 Arabia Lane SEALY Texas 68456,274948168,August 20 2016
Deshawn,Roy,Vandivier,864368197,October 20 1958,1411 Aschenbeck Road FAYETTEVILLE Texas 84444,780470826,October 24 1992
Shawna,Dolly,Levere,155555413,April 7 1987,10375 New Wehdem Road  Texas 68106,503498967,September 27 1994
Caprice,Brock,Connyer,474580195,June 3 1963,751 Concordia Drive A BELLVILLE Texas 21152,960460155,October 30 1995
Theo,Alisha,Golembeski,735811554,July 3 1965,3378 Peters San Felipe Road SEALY Texas 91886,761340238,December 21 1997
Janett,Charmain,Tino,665695826,December 13 1972,5499 Arriens Road NEW ULM Texas 53672,813293492,May 5 1989
Bridgette,Arleen,Ebberts,908135661,May 24 1963,0 Rock House Road  Texas 49480,129067916,September 18 1997
Mavis,Polly,Konrad,384333354,May 7 1977,   Texas 36479,741744839,December 22 2008
Patty,Sharon,Belter,589722723,October 10 1994,8320 New Wehdem Road BRENHAM Texas 83453,389611501,September 6 2016
Delmy,Kelley,Aragao,583999241,December 3 1989,124 South Creek Drive BELLVILLE Texas 41936,820650740,December 19 1996
Dodie,Marry,Duresky,491081894,May 3 1982,   Texas 59922,210512771,April 28 1987
Celesta,Tonisha,Helquist,674453536,September 28 1958,122 Briarwood Lane BELLVILLE Texas 41227,449593804,October 8 1999
Ehtel,Destiny,Krajewski,715106740,August 1 1976,   Texas 40749,484668492,April 18 2010
Ellsworth,Beatrice,Carpentier,767502386,February 6 1959,11736 Swearingen Road  Texas 11719,293781471,July 11 2016
Raven,Marvella,Rollin,229825671,November 29 1995,9805 Koehn Road BELLVILLE Texas 21495,745915261,April 26 2007
Marlin,Suzann,Decourley,107290569,March 13 1978,215 North Green Street SEALY Texas 98345,171954543,March 9 2002
Inell,Imogene,Casillo,205474838,December 14 1965,9438 Meadow Wood Lane  Texas 91779,933506118,December 6 1989
Essie,Oswaldo,Chouinard,940663725,December 28 1969,1889 East School Road BELLVILLE Texas 15584,340957876,December 24 2001
Allen,Ursula,Frodge,461750007,September 15 1992,219 North Green Street SEALY Texas 79735,875058840,November 4 1997
Taunya,China,Kingry,957864493,February 26 1970,0 Miller Road  Texas 88630,254530996,August 18 2004
Tommy,Pedro,Holway,396834286,November 23 1981,0 Tranquil Lane (Off Of) CAT SPRING Texas 46770,246904739,May 28 2000
Shannon,Donny,Mazar,437297660,September 7 1982,544 Skalak Road  Texas 91554,887855433,March 2 2011
Neomi,Clarice,Sing,455616301,October 29 1964,   Texas 72473,527076449,May 9 2010
Duncan,Lorena,Arva,449119683,January 1 1964,5042 Mill Creek Road CAT SPRING Texas 55086,398041351,March 17 1987
Zandra,Fermina,Callicoat,509645399,February 15 1989,0 Meyer Street SEALY Texas 67540,494776534,February 1 2007
Justa,Dorla,Gonce,191930975,November 3 1988,6302 Palm Road SEALY Texas 32208,667348974,July 1 1992
Dovie,Corrie,Saintfleur,839744223,January 18 1996,0 Cedar Street WALLIS Texas 98140,933585863,February 24 2009
Ching,Marian,Granzella,853023539,December 23 1978,6724 Beckendorff Road SEALY Texas 90398,663509981,November 16 1989
Inez,Chong,Lafromboise,537426977,July 22 1971,1164 Tomlinson Road WALLIS Texas 91910,638607950,November 30 2009
Julietta,Latia,Piette,635789949,August 21 1969,27368 Scooter Lane NEW ULM Texas 91162,467713766,September 14 2011
Marisa,Clotilde,Leduke,931653834,February 8 1982,9049 Highway 159 West BELLVILLE Texas 60283,502096642,March 19 1997
Truman,Art,Greenley,695555673,June 14 1955,0 Maler Road SEALY Texas 40722,413019936,May 12 2000
Mabel,Cleora,Opalicki,640978775,April 27 1956,17082 Highway 36 South WALLIS Texas 46276,291964185,October 11 1988
Casey,Juana,Argote,866958638,December 15 1972,114 Live Oak SEALY Texas 47400,346198867,December 15 2004
Arnold,Joanna,Dienes,290492654,September 13 1968,0 Swallow Lane SEALY Texas 71211,844180897,March 22 2008
Tyler,Jeanett,Manglona,368966267,October 25 1957,4325 Stokes Road BELLVILLE Texas 47537,956027622,November 13 2015
Iola,Cary,Kassman,690491218,September 15 1981,0 Rock House Road  Texas 38608,956916695,September 2 1992
Arlette,Elenor,Vandesteene,896768322,January 7 1995,8665 Moravian Ridge Circle SEALY Texas 20732,187303087,March 31 1998
Luis,Juliet,Furcron,676558464,September 3 1977,5289 Fm 949 SEALY Texas 52208,111981004,July 5 2001
Dusty,Melissa,Islar,179388709,January 23 1963,8077 Red Bird Road NEW ULM Texas 38824,498392483,March 25 2002
Solange,Georgene,Masino,965487757,October 24 1980,2943 Pilcik Road INDUSTRY Texas 86660,310523605,February 15 1997
Sean,Sherell,Guggemos,116372396,September 24 1981,0 K Ranch Road @ West Fm 1093 WALLIS Texas 60358,691822145,May 29 1985
Judith,Dani,Sillman,999592263,June 17 1975,3325 Lazy River Drive SEALY Texas 80820,315085143,September 14 2008
Shonta,Brittny,Vanorsdale,741973908,July 16 1986,   Texas 61280,602700238,November 25 2008
Rosaline,Delicia,Zarzycki,674596776,September 3 1985,0 Kenney Hall Road (Off Of) KENNEY Texas 72186,151138208,February 19 1999
Yen,Desiree,Yearsley,178730974,May 4 1975,13997 Newberg Road CAT SPRING Texas 33197,923849370,July 4 1991
Vicki,Horace,Chamblee,869253442,January 19 1972,550 Main Street SEALY Texas 47158,267633194,August 23 2004
Elmo,Nettie,Gruben,579170622,December 14 1992,0 Harrison Road SEALY Texas 46631,264258882,April 15 2007
Larue,Melania,Doucet,193574773,September 3 1973,8833 Gosler Road SEALY Texas 91368,159339631,July 16 2004
Khadijah,Harriett,Sandstrom,751873463,May 11 1980,0 Orchid Lane BELLVILLE Texas 69212,718400006,June 27 2004
Edris,Edmund,Breach,627303595,August 12 1982,1296 Cemetery Road   Texas 51036,452722865,September 19 2012
Mirian,Aurora,Drumbore,280608422,March 22 1981,0 Fm 3013 (Off Of) SEALY Texas 97448,687322598,June 21 1996
Kelle,Connie,Willimas,640804122,March 14 1956,0 Selman Drive SEALY Texas 94522,482674464,May 25 1990
Loreen,Isaias,Falter,369327373,May 26 1971,3395 Highway 36 SEALY Texas 87515,162192626,April 13 1998
Letha,Yer,Bogdan,841512152,January 2 1967,0 Settlers Court SEALY Texas 90124,687767596,May 18 1995
Sharie,Tina,Nwagbara,945246517,August 31 1971,5981 Fm 1456 BELLVILLE Texas 41097,910649108,May 16 2014
Latia,Marlene,Dimitrov,214664354,December 11 1988,260 Sage Lane SEALY Texas 84450,917167939,December 10 1989
Angila,Katerine,Breckley,882995832,December 3 1983,3160 Glaeser Road BELLVILLE Texas 39486,704359763,April 22 2005
Lashay,Ruthe,Rosal,976162031,June 28 1981,11714 Pete Lane SEALY Texas 26046,630415090,May 24 1995
Deshawn,Fidelia,Arcila,648033988,February 5 1990,405 North Amthor Street BELLVILLE Texas 94670,780422571,April 21 2012
Martin,Marylyn,Viehman,706726087,October 26 1959,7346 Highway 159 East BELLVILLE Texas 72555,831707355,September 24 1995
Kathlene,Kimbery,Veater,612535985,February 18 1992,429 Acres Lane SEALY Texas 23579,132472637,January 30 1985
Glenda,Isabelle,Lohwasser,523270155,January 20 1988,7307 Galle Lane NEW ULM Texas 20546,779967344,October 21 1985
Jodee,Joleen,Hylands,454284011,April 25 1969,326 East Hilburn Street BELLVILLE Texas 48845,301874035,August 20 2011
Lucius,Melody,Turnblom,378643447,August 19 1961,6026 Bowers Street WALLIS Texas 34980,863920334,July 19 2010
Benito,Miquel,Ericksen,383434952,May 20 1995,0 Skotnik Lane (Off Of) BELLVILLE Texas 80792,562253523,July 22 1997
Misti,Glennis,Vanzee,982252292,January 17 1975,3125 Highway 36 SEALY Texas 37524,803949882,January 18 1986
Anderson,Fidela,Brzezinski,445296623,February 4 1985,5202 Wagner Road ROUND TOP Texas 54704,218607765,October 20 1985
Vicki,Helena,Morain,448920887,December 10 1980,0 Klatt Lane SEALY Texas 37672,108064769,February 15 2007
Louann,Trinity,Holloman,553499449,September 27 1973,0 Red Bird Road  Texas 30107,436712387,July 18 2000
Santiago,Mel,Galano,913749007,January 4 1977,   Texas 98783,953560015,October 21 2006
Shelley,Robbin,Farish,718471440,September 2 1973,7305 Galle Lane NEW ULM Texas 14537,270692367,July 4 1989
Melissia,Anne,Chriscoe,978406308,March 14 1990,122 South Creek Drive BELLVILLE Texas 49312,716717004,August 15 2008
Loyce,Gil,Dupass,544369850,August 18 1968,0 North Oil Field Road  Texas 59385,112182920,September 12 1985
Bethany,Merrilee,Spikes,365693276,August 21 1954,505 Jasmine Court SEALY Texas 51873,425181277,October 20 2010
Isaac,Petrina,Sillman,884234149,July 31 1984,   Texas 45593,369001492,November 30 2016
Valencia,Emiko,Sheilds,570413350,October 21 1986,0 Shelby Road  Texas 74525,848689397,February 4 1990
Lanette,Junie,Pieper,220939053,March 13 1971,108 Bluebonnet Drive BELLVILLE Texas 69389,824845945,April 15 1994
Collette,Stacy,Sze,676438640,January 9 1988,1008 Lisa Mae Road  Texas 87363,577982670,August 4 2000
Lauren,Stacy,Lagasse,600557251,October 17 1972,843 Industry Road INDUSTRY Texas 84630,794089698,December 11 2008
Rachel,Sherie,Crusinberry,812801174,June 22 1952,260 Heritage Trail South BELLVILLE Texas 66733,915627485,November 3 1986
Maribel,Jewel,Adachi,497200570,June 30 1966,0 West Austin Street (Off Of) BELLVILLE Texas 56692,481817028,December 7 1999
Michael,Carlota,Scales,900879734,January 4 1953,533 Meadow Creek Road   Texas 60269,629828734,May 27 2006
Nakia,Ernestine,Raught,863687875,May 13 1955,0 Old Highway 36 BELLVILLE Texas 70905,183064549,December 20 1998
Eric,Danna,Oceguera,285141138,June 18 1984,1783 Rock House Road NEW ULM Texas 30348,609132335,September 13 1991
Whitley,Alethia,Pemble,692070613,June 28 1962,2251 Main Street INDUSTRY Texas 85252,405737943,October 28 2016
Audrie,Kristeen,Herceg,680985390,November 5 1983,23891 Bernard Road NEW ULM Texas 56186,725308554,February 22 1994
Meryl,Heather,Beevers,110902215,January 17 1993,330 Dogwood Acres Lane BELLVILLE Texas 56034,907467280,November 11 2002
Yuette,Sixta,Derentis,934275333,January 1 1991,5477 Avenue D Street  Texas 15826,729022192,November 11 2013
